number_of_bikes_avail,average_distance_fs,average_price_fs,average_popularity_fs,average_rating_fs,average_distance_yelp,average_price_yelp,average_popularity_yelp,average_rating_yelp
6,491.6,2.111111111111111,0.9782554397082648,8.559999999999999,659.6945016061804,2.7222222222222223,287.65,4.125
17,207.3,2.125,0.9758440557494272,8.72,270.695476402568,2.6666666666666665,292.1,4.15
5,746.3,1.3333333333333333,0.9636379855416872,7.56,905.2535158717972,1.7,12.1,4.325
15,724.1,2.0,0.969337101343781,8.72,635.5063040934292,2.6842105263157894,261.9,4.125
21,355.4,2.555555555555556,0.967054885924911,8.61,570.0177034572054,2.823529411764706,159.85,4.025
12,436.5,1.5555555555555556,0.9810942930341762,8.76,631.8529123317062,2.588235294117647,325.5,4.225
21,218.2,1.8888888888888888,0.9817101629236336,8.55,260.50460728793274,2.588235294117647,270.35,4.075
5,567.0,1.6,0.9820420047528314,8.7,723.973173508123,2.611111111111111,340.45,4.25
10,735.5,1.7777777777777777,0.9785416086835514,8.74,769.1781247034385,2.6842105263157894,324.6,4.225
6,703.3,2.125,0.9696478073775378,8.73,742.8709802833271,2.421052631578948,294.65,4.2
16,369.0,1.5,0.9641004231875372,8.870000000000001,451.60833871541,2.0,452.05,4.25
5,326.6,1.4444444444444444,0.9601340212806952,8.76,508.23291161590384,2.421052631578948,124.8,4.325
12,614.0,1.5555555555555556,0.9823645692835784,8.77,852.2181820963399,2.789473684210526,346.0,4.275
12,279.2,2.333333333333333,0.965048134906192,8.870000000000001,363.4099350411068,2.2777777777777777,172.85,4.15
8,378.1,2.75,0.9580673246412184,8.809999999999999,627.7076706435898,2.45,225.55,4.075
24,477.8,2.111111111111111,0.971379534279618,8.85,536.9499689035571,2.736842105263158,364.8,4.2
4,495.9,1.625,0.9773234280331412,8.7,683.6976210943637,2.6666666666666665,232.4,4.125
10,539.8,2.1,0.9750333625925054,8.9,513.5070474716424,2.8125,241.9,4.3
3,374.1,2.333333333333333,0.9686798404304666,8.67,657.1853303829116,2.8125,165.4,4.05
21,381.9,1.9,0.9671355270575978,8.77,498.2769397497559,2.3157894736842106,438.25,4.225
12,845.4,1.5,0.9634360258907992,8.45,908.8543982373592,2.45,374.25,4.275
22,473.7,1.6,0.9845196076435346,8.34,766.5885552129159,2.210526315789474,281.45,4.225
